HOLE-ID YEAR X Y Z AZM DIP LENGTH TYPE KIMBERLITE
DO27-93-33 1993 557357 7134140 418 270 -50 71.00 Core DO-27
DO27-93-34 1993 557404 7133805 420 180 -50 113.00 Core DO-27
DO27-93-35 1993 557190 7134256 418 0 -90 93.50 Core DO-27
DO27-93-36 1993 557357 7134140 418 262 -60 203.00 Core DO-27
DO27-93-37 1993 557357 7134140 418 0 -90 106.50 Core DO-27
DO27-93-38 1993 557357 7134140 418 320 -50 32.50 Core DO-27
DO27-93-39 1993 557357 7134140 418 320 -50 198.00 Core DO-27
DO27-93-40 1993 557407 7133986 419 90 -68 170.00 Core DO-27
DO27-93-41 1993 557406 7133986 419 0 -90 182.00 Core DO-27
DO27-93-42 1993 557404 7133984 419 270 -50 200.00 Core DO-27
DO27-93-43 1993 557105 7134187 418 160 -50 167.00 Core DO-27
DO27-93-44 1993 557416 7133935 419 270 -70 155.00 Core DO-27
DO28-1 1993 559875 7134300 NA 0 -90 38.00 Core DO-28
DO29-1 1993 555367 7132050 NA 0 -90 59.00 Core DO-29
DO29-2 1993 555367 7131980 NA 0 -90 125.00 Core DO-29
DO29N-3 1993 555387 7132625 NA 0 -90 47.00 Core DO-29
DO29N-5 1993 555425 7132600 NA 0 -90 98.00 Core DO-29
DO29S-4 1993 555387 7132140 NA 0 -90 80.00 Core DO-29
DO30-1 1993 552650 7132775 NA 0 -90 105.20 Core DO-30
DO32-1 1993 551880 7136790 NA 0 -90 125.00 Core DO-32
DO32-2 1993 551825 7136730 NA 0 -90 110.00 Core DO-32
DO64-1 1993 556230 7131760 NA 0 -90 55.00 Core DO-64
BH-2 1994 558880 7131500 NA 65 -50 167.00 Core None
DO18-94-12 1994 557258 7134492 425 0 -50 36.40 Core DO-18
DO18-94-13 1994 557260 7134584 NA 0 -90 180.70 Core DO-18
DO28-2 1994 559825 7134610 NA 176 -50 176.00 Core DO-28
DO28-3 1994 559815 7134570 NA 34 -50 34.00 Core DO-28
DO32-3 1994 551750 7136625 NA 0 -90 70.00 Core DO-32
DO18-96-LD1 1996 557241 7134668 432 0 -90 203.30 LD Core DO-18
DO29N-6 1998 555387 7132625 NA 0 -90 107.00 Core DO-29
WO11-1 2002 553888 7132968 NA 91 -70 85.00 Core None
WO12-1 2002 553920 7133765 NA 38 -75 32.60 Core None
WO34-1 2002 552692 7132940 NA 193 -45 134.70 Core None
WO9-1 2002 555245 7132964 NA 15 -47 86.56 Core WO-9
DO18-05-01 2005 557243 7134702 426 270 -45 181.00 Core DO-18
DO18-05-02 2005 557243 7134702 426 350.5 -45 151.00 Core DO-18
DO18-05-03 2005 557243 7134702 426 90 -45 117.00 Core DO-18
DO18-05-04 2005 557235 7134600 424 157 -45 167.00 Core DO-18
DO18-05-05 2005 557235 7134600 424 270 -50 112.00 Core DO-18
DO18-05-06 2005 557219 7134666 424 0 -90 206.00 Core DO-18
DO18-05-07 2005 557219 7134666 424 135 -45 240.00 Core DO-18
DO18-05-08 2005 557087 7134464 419 220 -45 179.00 Core DO-18
DO27-05-01 2005 557187 7133758 418 0 -90 58.52 Core DO-27
DO27-05-02 2005 557191 7133755 418 0 -90 459.50 Core DO-27
DO27-05-03 2005 557165 7133682 418 0 -90 230.00 Core DO-27
DO27-05-04 2005 557425 7133835 420 180 -70 112.50 Core DO-27
DO27-05-05 2005 557425 7133835 420 200 -47 99.80 Core DO-27
DO27-05-06 2005 557425 7133835 420 80 -45 101.00 Core DO-27
DO27-05-07 2005 557425 7133835 420 273 -70 218.00 Core DO-27
DO27-05-08 2005 557392 7133834 419 265 -45 290.00 Core DO-27
DO27-05-09 2005 557392 7133834 419 265 -86 155.00 Core DO-27
DO27-05-10 2005 557392 7133834 419 348 -45 140.00 Core DO-27
DO27-05-11 2005 557400 7133913 419 240 -45 374.00 Core DO-27
DO27-05-12 2005 557345 7134210 419 230 -45 65.00 Core DO-27
DO27-05-RC01 2005 557200 7133795 418 0 -90 209.00 LDD DO-27
DO27-05-RC02 2005 557180 7133745 418 0 -90 124.00 LDD DO-27
DO27-05-RC03 2005 557160 7133700 418 0 -90 190.00 LDD DO-27
DO27-05-RC04 2005 557235 7133755 418 0 -90 93.00 LDD DO-27
DO27-05-RC05 2005 557235 7133795 418 0 -90 83.00 LDD DO-27
DO27-05-RC06 2005 557235 7133835 418 0 -90 77.00 LDD DO-27
G031-05-01 2005 557776 7133078 430 270 -45 150.00 Core GO-31
W014-05-01 2005 553206 7130348 420 0 -90 30.00 Core WO-14
DO18-06-09 2006 557188 7134613 423 0 -90 301.50 Core DO-18
DO18-06-10 2006 557290 7134560 426 0 -90 291.20 Core DO-18
DO18-06-11 2006 557237 7134556 419 0 -90 286.00 Core DO-18
DO18-06-12A 2006 557261 7134739 428 0 -90 6.00 Core DO-18
DO18-06-12B 2006 557261 7134740 428 0 -90 299.00 Core DO-18
DO18-06-13 2006 557281 7134669 426 0 -90 295.00 Core DO-18
DO18-06-14 2006 557300 7134615 427 0 -90 299.00 Core DO-18
DO27-06-13 2006 557340 7133895 418 0 -90 140.00 Core DO-27
DO27-06-14 2006 557340 7133850 418 0 -90 178.60 Core DO-27
DO27-06-15 2006 557305 7133855 418 0 -90 212.13 Core DO-27
DO27-06-16 2006 557235 7133785 418 0 -90 305.00 Core DO-27
DO27-06-17 2006 557270 7133855 418 0 -90 203.00 Core DO-27
DO27-06-18 2006 557200 7133707 418 0 -90 250.00 Core DO-27
DO27-06-19 2006 557235 7133739 418 0 -90 251.00 Core DO-27
DO27-06-20 2006 557164 7133714 418 0 -90 308.00 Core DO-27
DO27-06-21 2006 557202 7133666 418 0 -90 258.50 Core DO-27
DO27-06-22 2006 557155 7133830 418 0 -90 269.00 Core DO-27
DO27-06-23 2006 557098 7133751 418 0 -90 298.40 Core DO-27
DO27-06-24 2006 557100 7133700 418 0 -90 299.80 Core DO-27
DO27-06-25 2006 557347 7134150 418 0 -90 34.40 Core DO-27
DO27-06-26 2006 557392 7133883 418 0 -90 215.10 Core DO-27
DO27-06-27 2006 557390 7133810 419 0 -90 196.60 Core DO-27
DO27-06-28 2006 557425 7133835 420 0 -90 197.00 Core DO-27
DO27-06-29 2006 557426 7133808 420 0 -90 176.00 Core DO-27
DO27-06-30 2006 557410 7133825 420 0 -90 194.00 Core DO-27
DO27-06-31 2006 557467 7133835 422 270 -53 355.00 Core DO-27
DO27-06-32 2006 557350 7133823 418 0 -90 343.60 Core DO-27
DO27-06-MZ01 2006 557366 7134147 419 270 -45 158.80 Core DO-27
DO27-06-MZ02 2006 557176 7134404 420 90 -45 145.00 Core DO-27
DO27-06-MZ03 2006 557401 7134101 423 270 -45 163.00 Core DO-27
DO27-06-MZ04 2006 557422 7134051 423 270 -45 219.00 Core DO-27
DO27-GT06-01 2006 556915 7133890 428 122 -48 484.00 Geotech DO-27
DO27-GT06-02 2006 556833 7133673 435 120 -46 349.20 Geotech DO-27
DO27-GT06-03 2006 557060 7133386 421 360 -50 502.00 Geotech DO-27
DO27-GT06-04 2006 557274 7133436 418 300 -50 352.00 Geotech DO-27
DO27-GT06-05 2006 557474 7133667 421 300 -50 550.20 Geotech DO-27
DO27-GT06-06 2006 557013 7134004 420 120 -50 427.00 Geotech DO-27
DO27-GT06-07 2006 557403 7134026 418 228 -50 329.00 Geotech DO-27
DO27-GT06-08 2006 557350 7133665 418 0 -90 149.10 Geotech DO-27
DO27-GT06-09 2006 557400 7133848 419 0 -90 120.60 Geotech DO-27
DO27-GT06-10 2006 556972 7133805 425 300 -72 100.80 Geotech DO-27
DO27L-06-01 2006 557340 7133900 418 0 -90 84.75 LDD DO-27
DO27L-06-02 2006 557185 7133785 418 0 -90 403.00 LDD DO-27
DO27L-06-03 2006 557271 7133869 418 0 -90 228.00 LDD DO-27
DO27L-06-04 2006 557327 7133844 418 0 -90 245.50 LDD DO-27
DO27L-06-05 2006 557281 7133824 418 0 -90 53.00 LDD DO-27
DO27L-06-06 2006 557253 7133824 418 0 -90 180.13 LDD DO-27
DO27L-06-07 2006 557205 7133746 418 0 -90 314.00 LDD DO-27
DO27L-06-08 2006 557195 7133830 418 0 -90 240.59 LDD DO-27
DO27L-06-09 2006 557200 7133680 418 0 -90 383.00 LDD DO-27
DO27L-06-10 2006 557150 7133787 418 0 -90 145.00 LDD DO-27
DO27L-06-11 2006 557150 7133750 418 0 -90 38.00 LDD DO-27
DO27L-06-12 2006 557162 7133716 418 0 -90 109.00 LDD DO-27
DO27L-NE01 2006 557411 7133825 420 0 -90 98.31 LDD DO-27
DO27L-NE02 2006 557405 7133802 420 0 -90 119.45 LDD DO-27
DO27-07-33 2007 557170 7133800 417 0 -90 275.00 Core DO-27
DO27-07-34 2007 557150 7133725 417 0 -90 276.00 Core DO-27
DO27-07-36 2007 557300 7133990 417 180 -45 199.00 Core DO-27
DO27-07-37 2007 557267 7133563 417 340 -46 142.00 Core DO-27
DO27-07-38 2007 557030 7133585 417 50 -45 208.00 Core DO-27
DO27-07-39 2007 557012 7133675 417 70 -50 215.20 Core DO-27
DO27-07-40 2007 557236 7133990 417 195 -50 250.00 Core DO-27
DO27-07-41 2007 557012 7133675 417 70 -65 248.00 Core DO-27
DO27-07-42 2007 557152 7133536 417 10 -61 287.00 Core DO-27
DO27-07-43 2007 557117 7133944 417 155 -50 241.70 Core DO-27
DO27-07-44 2007 557152 7133536 417 10 -47 286.00 Core DO-27
DO27-07-45 2007 557117 7133944 417 155 -61 280.00 Core DO-27
DO27-07-46 2007 557394 7133755 418 300 -45 265.00 Core DO-27
DO27-07-47 2007 557395 7133754 418 300 -60 233.00 Core DO-27
DO27-07-48 2007 557384 7133700 418 300 -55 240.00 Core DO-27
DO27-07-49 2007 557384 7133701 419 300 -45 381.00 Core DO-27
DO27-07-50 2007 557002 7133963 420 125 -48 496.00 Core DO-27
DO27-07-51 2007 556981 7133765 423 90 -60 374.00 Core DO-27
DO27-07-52 2007 556986 7133875 419 110 -45 451.00 Core DO-27
DO27-07-53 2007 556982 7133765 422 90 -45 419.00 Core DO-27
DO27-07-54 2007 557375 7133665 419 285 -45 464.60 Core DO-27
DO27-07-55 2007 557353 7133500 418 328 -50 545.00 Core DO-27
DO27-07-56 2007 557375 7133665 418 285 -55 271.00 Core DO-27
DO27-07-57 2007 557428 7133772 420 300 -62 160.00 Core DO-27
DO27L-07-01 2007 557200 7133774 419 0 -90 256.01 LDD DO-27
DO27L-07-02 2007 557225 7133824 417 0 -90 258.50 LDD DO-27
DO27L-07-03 2007 557164 7133750 417 0 -90 127.83 LDD DO-27
DO27L-07-04 2007 557300 7133875 417 0 -90 163.14 LDD DO-27
DO27L-07-05 2007 557300 7133825 417 0 -90 280.83 LDD DO-27
DO27L-07-06 2007 557275 7133850 417 0 -90 150.69 LDD DO-27
DO27L-07-08 2007 557250 7133800 417 0 -90 192.80 LDD DO-27
DO27L-07-09 2007 557225 7133850 417 0 -90 175.01 LDD DO-27
DO27L-07-10 2007 557225 7133800 417 0 -90 275.22 LDD DO-27
DO27L-07-11 2007 557225 7133775 417 0 -90 275.30 LDD DO-27
DO27L-07-12 2007 557225 7133725 417 0 -90 160.06 LDD DO-27
DO27L-07-13 2007 557227 7133698 417 0 -90 158.76 LDD DO-27
DO27L-07-14 2007 557200 7133724 417 0 -90 185.97 LDD DO-27
DO27L-07-16 2007 557175 7133800 417 0 -90 216.39 LDD DO-27
DO27L-07-17 2007 557175 7133775 417 0 -90 266.57 LDD DO-27
DO27L-07-18 2007 557176 7133723 417 0 -90 277.12 LDD DO-27
DO27L-07-19 2007 557175 7133700 417 0 -90 295.05 LDD DO-27
DO27L-07-20 2007 557175 7133650 417 0 -90 136.59 LDD DO-27
DO27L-07-22 2007 557150 7133675 417 0 -90 277.01 LDD DO-27
DO27L-07-23 2007 557178 7133824 417 0 -90 256.45 LDD DO-27
DO27L-07-24 2007 557125 7133751 417 0 -90 284.04 LDD DO-27
DO27L-07-25 2007 557125 7133700 417 0 -90 275.71 LDD DO-27
DO27L-NE03 2007 557390 7133843 420 0 -90 104.59 LDD DO-27
DO27L-NE04 2007 557391 7133826 419 0 -90 118.25 LDD DO-27
DO27L-NE05 2007 557394 7133811 420 0 -90 160.44 LDD DO-27
DO27L-NE06 2007 557370 7133805 419 0 -90 102.13 LDD DO-27
LDGE-001-12-DD01 2012 558621 7132422 423 234 -47 108.33 Core None
LDGE-007-12-DD01 2012 555277 7133294 457 59 -45 123.00 Core LD-2
LDGE-007-12-DD02 2012 555277 7133294 457 59 -60 134.00 Core LD-2
